idx,solved,status,time_sec
0,True,SAT,0.3606159999908414
1,True,SAT,0.9487297919986304
2,True,SAT,33.26768595899921
3,True,SAT,0.36489633299061097
4,True,SAT,26.45616670799791
5,True,SAT,7.715633957996033
6,True,SAT,0.30112420799559914
7,True,SAT,7.413563041991438
8,True,SAT,0.30489637500431854
9,True,SAT,36.718073625001125
10,True,SAT,0.299004166998202
11,True,SAT,0.32438641699263826
12,True,SAT,0.31069275000481866
13,True,SAT,0.35142004198860377
14,True,SAT,2.457166291991598
15,True,SAT,0.30313987500267103
16,True,SAT,0.3089549170108512
17,True,SAT,9.33432479100884
18,True,SAT,33.316776332998415
19,True,SAT,0.30680720799136907
20,True,SAT,0.7972357079997892
21,True,SAT,0.32743145899439696
22,True,SAT,0.39576058299280703
23,True,SAT,0.3135738750133896
24,True,SAT,0.3029992909869179
25,True,SAT,23.314464750001207
26,True,SAT,0.43032125000900123
27,True,SAT,20.171345166003448
28,True,SAT,0.3416178749903338
29,True,SAT,14.128354624990607
30,True,SAT,0.3055510829872219
31,True,SAT,0.30075204200693406
32,True,SAT,0.30016624998825137
33,True,SAT,0.5606003749999218
34,True,SAT,0.5004238750116201
35,True,SAT,68.19578283300507
36,True,SAT,45.363435124992975
37,True,SAT,54.499870166007895
38,True,SAT,17.94857133300684
39,True,SAT,0.45156541700998787
40,True,SAT,31.93086179200327
41,True,SAT,0.3059719159937231
42,True,SAT,55.15277299999434
43,True,SAT,88.43142858300416
44,True,SAT,0.3038021249958547
45,True,SAT,21.530931375004002
46,True,SAT,72.51028433299507
47,True,SAT,16.747515875002136
48,True,SAT,37.48558429200784
49,True,SAT,37.001648416990065
50,True,SAT,16.513849499999196
51,True,SAT,13.54014462500345
52,True,SAT,9.26958116699825
53,True,SAT,2.6870135000062874
54,True,SAT,13.228546208993066
55,True,SAT,1.9818833750032354
56,True,SAT,8.466118791009649
57,True,SAT,55.743177083000774
58,True,SAT,15.566650833003223
59,True,SAT,20.02740000000631
60,True,SAT,0.30301950000284705
61,True,SAT,12.416697874999954
62,True,SAT,0.5439174170023762
63,True,SAT,0.3876095000014175
64,True,SAT,0.3236965839896584
65,True,SAT,18.463660666995565
66,True,SAT,0.6393665000068722
67,True,SAT,0.3042304580012569
68,True,SAT,0.3033096669969382
69,True,SAT,38.01790233299835
70,True,SAT,2.51212349999696
71,True,SAT,0.3414249579946045
72,True,SAT,0.5115404590032995
73,True,SAT,108.14391954100574
74,True,SAT,15.380682959003025
75,True,SAT,57.7958002910018
76,True,SAT,67.52585912500217
77,True,SAT,0.488003624996054
78,True,SAT,0.33677874998829793
79,True,SAT,79.27700470799755
80,True,SAT,15.71825983299641
81,True,SAT,27.97450041701086
82,True,SAT,20.046687458001543
83,True,SAT,0.30415625000023283
84,True,SAT,2.9997938749875175
85,True,SAT,1.8018422499881126
86,True,SAT,1.3119087079976453
87,True,SAT,2.079374416003702
88,True,SAT,0.6143181249935878
89,True,SAT,1.7848287500091828
90,True,SAT,1.929478999998537
91,True,SAT,2.7019247920106864
92,True,SAT,2.3227352499961853
93,True,SAT,0.30302633400424384
94,True,SAT,37.73124133399688
95,True,SAT,13.539499708000221
96,True,SAT,0.30205462498997804
97,True,SAT,65.48369745799573
98,True,SAT,4.503588874998968
99,True,SAT,100.93190825000056
