idx,solved,status,time_sec
0,True,SAT,0.01782433300104458
1,True,SAT,0.018693166988668963
2,True,SAT,0.05417970799317118
3,True,SAT,0.01494141599687282
4,True,SAT,0.04053254199970979
5,True,SAT,0.033002042007865384
6,True,SAT,0.014680957989185117
7,True,SAT,0.019914750009775162
8,True,SAT,0.02652387499983888
9,True,SAT,0.04410062498936895
10,True,SAT,0.014727457994013093
11,True,SAT,0.017171125000459142
12,True,SAT,0.014344916999107227
13,True,SAT,0.026204042005701922
14,True,SAT,0.016131500000483356
15,True,SAT,0.014763125000172295
16,True,SAT,0.014917374996002764
17,True,SAT,0.02726654200523626
18,True,SAT,0.05845700000645593
19,True,SAT,0.016248207990429364
20,True,SAT,0.014688166993437335
21,True,SAT,0.01459920899651479
22,True,SAT,0.02714425000885967
23,True,SAT,0.015367875006631948
24,True,SAT,0.014760207996005192
25,True,SAT,0.07955254199623596
26,True,SAT,0.016915000000153668
27,True,SAT,0.07368750000023283
28,True,SAT,0.015247707997332327
29,True,SAT,0.03400283301016316
30,True,SAT,0.015349624998634681
31,True,SAT,0.014855500005069189
32,True,SAT,0.0272829589957837
33,True,SAT,0.01674579200334847
34,True,SAT,0.015256750004482456
35,True,SAT,0.02327020899974741
36,True,SAT,0.03152320800290909
37,True,SAT,0.07552112500707153
38,True,SAT,0.041444583010161296
39,True,SAT,0.015484749994357117
40,True,SAT,0.06119724999007303
41,True,SAT,0.027221290991292335
42,True,SAT,0.019851417004247196
43,True,SAT,0.020517166994977742
44,True,SAT,0.014951999997720122
45,True,SAT,0.052259750009397976
46,True,SAT,0.031159541991655715
47,True,SAT,0.06680708299973048
48,True,SAT,0.024662458003149368
49,True,SAT,0.0781080419983482
50,True,SAT,0.06578766601160169
51,True,SAT,0.05762733299343381
52,True,SAT,0.03976820899697486
53,True,SAT,0.029080291991704144
54,True,SAT,0.04488720800145529
55,True,SAT,0.028664500001468696
56,True,SAT,0.027259750000666827
57,True,SAT,0.024867332991561852
58,True,SAT,0.028563792002387345
59,True,SAT,0.03296633299032692
60,True,SAT,0.026009791996330023
61,True,SAT,0.031190249996143393
62,True,SAT,0.01630820801074151
63,True,SAT,0.016568291001021862
64,True,SAT,0.014780999990762211
65,True,SAT,0.0682709170068847
66,True,SAT,0.015789457989740185
67,True,SAT,0.014781916994252242
68,True,SAT,0.01478179199330043
69,True,SAT,0.021921166000538506
70,True,SAT,0.048516541995923035
71,True,SAT,0.015537749990471639
72,True,SAT,0.015189041994744912
73,True,SAT,0.07444087500334717
74,True,SAT,0.031935958002577536
75,True,SAT,0.04015683301258832
76,True,SAT,0.019902000000001863
77,True,SAT,0.015223541995510459
78,True,SAT,0.015352374990470707
79,True,SAT,0.0390514169994276
80,True,SAT,0.037601874995743856
81,True,SAT,0.027612332996795885
82,True,SAT,0.04646066699933726
83,True,SAT,0.014952708996133879
84,True,SAT,0.0427544999984093
85,True,SAT,0.022062000003643334
86,True,SAT,0.01839912499417551
87,True,SAT,0.021181165997404605
88,True,SAT,0.030176374988514
89,True,SAT,0.0355953340040287
90,True,SAT,0.017343291998258792
91,True,SAT,0.017154291010228917
92,True,SAT,0.02223895899078343
93,True,SAT,0.014382499997736886
94,True,SAT,0.027433374998508953
95,True,SAT,0.030957583992858417
96,True,SAT,0.014730041002621874
97,True,SAT,0.02416662499308586
98,True,SAT,0.06003545899875462
99,True,SAT,0.036298666993388906
